Id,Titulo,Ano,Km
1,Fiat Strada 1.4  - 2010,2010,104
2,Peugeot 207 XR 1.4 entrada 4.000,00  - 2011,2011,47.800
3,C3 Tendance 1.5 flex km 18.000  - 2015,2015,18.000
4,Gol G5 Leia o anúncio  - 2009,2009,118.000
5,Discovery azul interior bege SE extra apenas 41 mi,2013,41.000
6,Ford Ecosport xlt freestyle a completona top de li,2005,90.700
7,Renault Logan 2012/2012 ótimo estado.  - 2012,2012,94.000
8,Sonic LTZ 2013 financio aceito moto ou carro  - 20,2013,55.555
9,Vendo este New Fiesta 2014 alienado  - 2014,2014,2
10,Hyundai Ix35 2.0 mpfi gls 16v flex 4p automatico  ,2015,115.623
11,Fista sedan 1.0 flex 11/12  - 2012,2012,55.700
12,C 250 1.8 CGI SPORT 16V GASOLINA 4P 2011  - 2012,2012,33.000
13,FIAT UNO 1.0 EVO VIVACE 8V FLEX 2P MANUAL  - 2015,2015,19.700
14,Renault Duster Dynamique 1.6 13/14 (9 8811.9244 / ,2014,53.000
15,Gol track 2014  - 2013,2013,38.000
16,Gol 8v 2009 extra 12.500 zap 992621691  - 2009,2009,65.888
17,Kia Motors Soul 2011/2011 Flex 4p  - 2011,2011,55.000
18,Palio Fire 1.0 Completo 2015  - 2015,2015,43.000
19,Palio 1.0 edx 1998 (completão)  - 1998,1998,60.000
20,Fiat Idea Adventure 1.8 automatico  - 2013,2013,48.951
21,Chevrolet corsa 2005  - 2005,2005,110.000
22,AUDI A3 1.4 TFSI SEDAN AMBIENTE 16V FLEX 4P TIPTRO,2016,29.601
23,Oferta Fox Trend 2013  - 2013,2013,48.000
24,Fiat Punto 1.4 Attractive 8v  - 2015,2015,27.000
25,Tracker 1.8 LTZ 2014 >>> Extra  - 2014,2014,48.000
26,Fiat Bravo 1.8 Sporting 16v  - 2014,2014,32.141
27,HYUNDAI HB20S 1.0 COMFORT STYLE 12V FLEX 4P MANUAL,2014,20.476
28,Renault Sandero Stepway 1.6 Flex 2013/2014 Com ape,2014,27.000
29,RENAULT SANDERO 2012/2012 1.0 EXPRESSION 16V FLEX ,2012,56.700
30,Fluence Sed. Dynamique 2.0 16V Flex Mec.  - 2015,2015,36.033
31,HYUNDAI HB20S 1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO  ,2014,17.602
32,EcoSport SE 1.5 12V Flex 5p Aut.  - 2018,2018,0
33,Tucson 2.0 16V Flex Aut.  - 2014,2014,49.285
34,Gm - Chevrolet Cobalt 1.8 LTZ Automático 2014 / 20,2015,23.000
35,UNO ATTRACTIVE 1.0 EVO Fire Flex 8V 5p  - 2017,2017,29.024
36,Gm - S10 LT Cabine Dupla 4x2 2014 Completa,Extra 7,2013,103.844
37,Ford Ecosport  - 2015,2015,38.662
38,Uno celebration 2010  - 2010,2010,80.000
39,Siena 1.4 completo  - 2010,2010,58.021
40,I30 2011 automático financio aceito moto ou carro ,2011,77.777
41,LOGAN 1.0 EXPRESSION 16V FLEX 4P MANUAL 2016  - 20,2016,27.436
42,Cobalt 2013 LTZ financio aceito moto ou carro  - 2,2013,88.888
43,Doblo Attractive 1.4 8V Flex  - 2013,2013,58.413
44,Chevrolet Prisma 1.0 Mpfi lt 8v  - 2014,2014,42.300
45,Jeep Renegade  - 2017,2017,0
46,FORD FIESTA 1.5 S HATCH 16V FLEX 4P MANUAL  - 2014,2014,31.600
47,Jetta 2012 financio aceito moto ou carro  - 2012,2012,66.666
48,Corolla Xei 2010/2010  - 2010,2010,61.000
49,Siena 1.4 2014  - 2014,2014,62.120
50,Gol 2010  - 2010,2010,70.000
51,Prisma 1.4 lt. urgente!!!!!!!  - 2015,2015,36.100
52,Gol 2014 financio aceito moto ou carro  - 2014,2014,29.000
53,408 Griffe 1.6 THP 2016 EXTRA ÚNICO DONO  - 2016,2016,14.791
54,Grand siena 2013 financio aceito moto ou carro  - ,2013,77.777
55,Palio 2015 financio aceito moto ou carro  - 2015,2015,55.555
